REL_NUM_COMP_ALUNOS;ID_MOD_ATIV_COMPLEMENTAR;IDADE_MESES;TP_SEXO;TP_COR_RACA_PRETA;ID_ZONA_RESIDENCIAL;ID_N_T_E_P;EVADIU;filter_$
37;0;213;0;0;0;0;0;0
43;0;220;0;0;1;1;0;0
37;0;219;0;0;0;0;0;0
37;0;212;0;0;1;1;0;0
43;0;205;1;0;1;1;0;0
43;0;184;1;0;0;0;0;0
35;0;192;1;0;1;1;0;0
43;0;201;1;0;1;1;0;0
35;0;229;1;0;0;0;0;1
35;0;206;1;0;0;0;0;0
35;0;189;0;0;0;0;0;0
35;0;189;0;0;0;1;0;0
35;0;184;0;0;1;1;0;0
35;0;179;1;0;0;0;0;1
35;0;191;1;0;1;1;0;0
41;1;192;1;0;0;0;0;0
767;0;183;1;0;0;1;0;0
767;0;191;0;0;0;0;0;0
41;1;215;0;0;0;0;0;0
37;0;186;0;0;0;0;0;0
37;0;187;0;0;0;0;0;0
37;0;184;0;0;0;0;0;0
41;1;224;1;0;0;0;0;0
767;0;173;0;0;0;0;0;0
41;1;198;0;0;0;0;0;0
53;0;217;1;0;0;0;0;0
53;0;206;0;0;0;0;0;1
53;0;205;1;0;1;0;0;0
53;0;183;1;0;0;0;0;0
164;0;283;1;0;1;1;0;0
164;0;219;0;0;1;1;1;1
29;0;181;0;0;1;1;1;0
43;0;177;0;0;1;1;0;0
43;0;192;0;0;0;0;0;0
43;0;175;1;0;1;1;0;0
29;0;209;0;0;0;0;1;0
35;0;202;1;0;0;1;0;0
35;0;195;0;0;1;1;0;0
40;0;185;0;0;0;0;0;0
40;0;222;1;0;0;0;1;0
40;0;196;1;0;1;1;0;0
40;0;215;1;0;0;0;1;1
40;0;242;0;0;1;1;1;0
40;0;332;0;0;1;1;0;0
40;0;187;0;0;1;1;0;0
40;0;190;0;0;0;0;0;0
40;0;180;0;0;0;0;0;0
40;0;190;1;0;1;1;0;0
41;1;192;0;0;0;0;0;0
41;1;219;0;0;0;0;0;0
41;1;317;1;0;0;0;1;0
41;1;226;1;0;0;0;0;0
767;0;195;0;0;0;1;0;0
767;0;212;0;0;0;0;0;0
29;0;190;1;0;0;1;0;1
29;0;183;0;0;1;1;1;0
29;0;178;0;0;1;1;0;0
29;0;189;0;0;1;1;1;1
29;0;185;0;0;1;1;1;0
29;0;182;0;0;1;1;1;0
269;0;197;0;0;0;1;1;0
269;0;198;1;0;1;1;0;1
164;0;207;1;0;1;1;0;0
164;0;195;1;0;0;0;0;1
248;0;201;1;0;0;1;0;1
248;0;177;1;0;1;1;0;0
248;0;185;1;0;1;1;0;0
248;0;203;0;0;1;1;0;0
248;0;203;0;0;1;1;0;0
248;0;194;1;0;1;1;1;0
248;0;175;0;0;0;0;0;0
